,text,n_tokens
10,"global about us mission. Global Investment Bank and Financial Services | CitiOKAbout UsBusinessesOur ImpactNewsInvestorsCareersMy AccountHome/About Us/MissionCiti’s Value propositionA Mission of Enabling Growth and Economic Progress What you can expect from us and what we expect from ourselves   Citi’s mission is to serve as a trusted partner to our clients by responsibly providing financial services that enable growth and economic progress. Our core activities are safeguarding assets, lending money, making payments and accessing the capital markets on behalf of our clients. We have more than 200 years of experience helping our clients meet the world’s toughest challenges and embrace its greatest opportunities. We are Citi, the global bank — an institution connecting millions of people across hundreds of countries and cities. We protect people’s savings and help them make the purchases — from everyday transactions to buying a home — that improve the quality of their lives. We advise people on how to invest for future needs, such as their children’s education and their own retirement, and help them buy securities such as stocks and bonds. We work with companies to optimize their daily operations, whether they need working capital, to make payroll or export their goods overseas. By lending to companies large and small, we help them grow, creating jobs and real economic value at home and in communities around the world. We provide financing and support to governments at all levels, so they can build sustainable infrastructure, such as housing, transportation, schools and other vital public works. These capabilities create an obligation to act responsibly, do everything possible to create the best outcomes and prudently manage risk. If we fall short, we will take decisive action and learn from our experience We strive to earn and maintain the public’s trust by constantly adhering to the highest ethical standards. We ask our colleagues to ensure that their decisions pass three tests: they are in our clients’ interests, create economic value and are always systemically responsible. When we do these things well, we make a positive financial and social impact in the communities we serve and show what a global bank can do. Keep Exploring in this sectionStrategyWe are transforming Citi into a modern, simpler, more efficient bank.Learn MoreLeadershipOur diverse leadership team is committed to stewarding a firm known for excellence.Learn MoreAbout UsStrategyGlobal PresenceLeadershipHeritageBusinessesServicesMarketsBanking and InternationalWealthU.S.",487
11,"global about us strategy. Global Investment Bank and Financial Services | CitiOKAbout UsBusinessesOur ImpactNewsInvestorsCareersMy AccountHome/About Us/StrategyStrategyLeading the Next Era of Global Business We have undertaken a massive effort to make sure we can manage the speeds and volumes of the digital age while helping our clients and customers address the challenges of an ever-evolving world.Our VisionOur vision is for Citi to be the preeminent banking partner for institutions with cross-border needs, a global leader in wealth management and a valued personal bank in our home market of the United States.How we are getting it doneThinking GlobalFor us, being the world's most global bank is about more than our number of banking licenses. It's a mindset. We see the world differently than most other banks and we are able to use our insights and local knowledge to uniquely enable our clients to grow globally.Simplifying Our BankYou don’t win in a digital world unless you are streamlined. We are focusing our business model on where our clients need us most and helping them stay ahead of evolving trends and global challenges.Increasing ConnectivityWe are becoming a more connected bank. Our five core businesses are working more closely than ever to deliver the full range of our expertise and services to our clients and customers.Investing in Our TeamWe have a team filled with talented individuals bringing their diverse experiences and perspectives to our work. Together, we are building a high-performing culture that's passionate about our clients' success.We are aligning our strategy and structure. Learn MoreOur Path ForwardRead more about our strategy for modernizing our bank, introduced at Investor Day 2022.View HighlightsWe’re on a deliberate path to build the bank for the future and increase value for our shareholders. In all my years at Citi, we’ve never been clearer about the bank we want to be. It’s full steam ahead.Jane FraserChief Executive Officer, CitiSign up to receive the latest news from Citi.Email Address**Required FieldSelect PreferencesSendAbout UsStrategyGlobal PresenceLeadershipHeritageBusinessesServicesMarketsBanking and InternationalWealthU.S.",430
12,"global about us strategy delivering our full potential. Global Investment Bank and Financial Services | CitiOKAbout UsBusinessesOur ImpactNewsInvestorsCareersMy AccountHome/About Us/Strategy/Delivering Our Full PotentialDelivering our full potential Learn more about how we’re simplifying our bank to deliver our full potential.“I am determined that our bank will deliver to our full potential, and we’re making bold decisions to meet our commitments to all our stakeholders.” - Jane Fraser, CEORead the Press Release SIMPLIFYING OUR BANK We are moving to an operating model that best fits our strategy and will accelerate our progress, simplify the management of our bank and ensure that our clients are at the center of all we do. The leaders of each of Citi’s five interconnected businesses will now report directly to the CEO and be members of the Executive Management Team. Leadership of our firm’s geographies outside of North America is consolidated under a new, leaner International organization.A newly-created Client organization is now responsible for strengthening client engagement and experience across the bank.  BRINGING OUR VISION TO LIFE  This new organizational model is part of the work underway at Citi to execute the plan we presented at our 2022 Investor Day and deliver our medium-term targets. Simplifying the organization will also advance the execution of Citi’s Transformation, our firm’s top priority. With our firm’s business leaders at the table, we are ensuring full engagement and accountability for the operation of our firm. View our leadershipSign up to receive the latest news from Citi.Email Address**Required FieldSelect PreferencesSendAbout UsStrategyGlobal PresenceLeadershipHeritageBusinessesServicesMarketsBanking and InternationalWealthU.S. Personal BankingOur ImpactSustainabilityStrengthening CommunityDiversity, Equity and InclusionInvestorsQuarterly EarningsEvents and PresentationsAnnual Reports and Proxy StatementsSEC FilingsOther Regulatory FilingsFixed Income Investor RelationsStockholder ServicesCorporate GovernanceESG for InvestorsInvestor ContactsNewsPress ReleasesPerspectivesInsightsMedia ResourcesCareersAlumniContact UsRegulatory DisclosuresCareersAlumniContact UsRegulatory DisclosuresTermsPrivacyNotice at CollectionCA Privacy HubAccessibilitySuppliersEthics HotlineContact Us",448
13,"global businesses. Citi | BusinessesOKAbout UsBusinessesOur ImpactNewsInvestorsCareersMy AccountBusiness OverviewBusinessesOur global perspective and expertise allows us to serve clients in a way others simply cannot. We are the preeminent banking partner for institutions with cross-border needs, a global leader in wealth management and a valued personal bank in our home market. Five Core Interconnected BusinessesServicesLearn MoreWealthLearn MoreMarketsLearn MoreU.S. Personal BankingLearn MoreBanking & InternationalLearn MoreGLOBAL SPOTLIGHTAround the World with Citi: BangkokKnown for its vibrant culture, hospitality and spicy cuisine, Thailand welcomes millions of visitors every year. At the heart of the economy is Bangkok, conveniently located to offer everything from city shopping to mountain trekking and pristine beaches just a few hours away.WATCH MORE FROM THIS SERIESPartnering with KonfioCiti is proud to have provided financing to Konfio that supports financial inclusion in Mexico, especially for women-owned small and medium enterprises alongside U.S. International Development Finance Corporation (DFC) and Ford Foundation.WATCH MORE FROM THIS SERIESAs One with QuantiphiCiti has enabled Quantiphi to complete private equity deals, allowing them to expand their business. Thanks to our global network, we give clients like Quantiphi local advice and tailored financial solutions that meet their needs and help them grow around the world.Learn MoreConnecting businesses for 200 years and countingCiti’s in-depth understanding of local regulations, politics, and economic conditions across the world helps businesses make meaningful connections and seize new opportunities every day. By using our multinational team and on-the-ground presence in 95 counties, we connect the right people, products, and service to responsibly drive economic progress for our clients.",353
14,"global businesses banking and international. Global Investment Bank and Financial Services | CitiOKAbout UsBusinessesOur ImpactNewsInvestorsCareersMy AccountHome/Businesses/Banking and InternationalBANKING & INTERNATIONALOur Banking franchise is organized around three lines of business: Investment Banking, Corporate Banking and Commercial Banking. The unified Banking & International organization oversees the local delivery of the full firm to clients in each of the 95 markets where Citi has an on-the-ground presence. Investment BankingThe Investment Bank provides advisory, debt and equity capital markets solutions for corporations, governments and financial institutions.Corporate BankingThe Corporate Bank serves as the conduit of Citi’s full product suite to clients through holistically managed relationships across our unparalleled network.Commercial BankingThe Commercial Bank is a solutions-led business for the demands of mid-sized and emerging corporates.Learn MoreLatest From CitiPRESS RELEASECiti Asia Pacific Digital Leaders’ Summit 2023 Discusses Future of AI and Prospects for Digital DisruptorsOctober 12, 2023PRESS RELEASECiti Structured a $6 Million Loan to Sempli to Support Small and Micro Business Growth in ColombiaSeptember 26, 2023PRESS RELEASECiti Selects Foro Holdings, Inc. to Scale Its Bridge built by Citi Platform via Strategic Investment and SaleSeptember 11, 2023View All NewsSign up to receive the latest news from Citi.Email Address**Required FieldSelect PreferencesSendAbout UsStrategyGlobal PresenceLeadershipHeritageBusinessesServicesMarketsBanking and InternationalWealthU.S. Personal BankingOur ImpactSustainabilityStrengthening CommunityDiversity, Equity and InclusionInvestorsQuarterly EarningsEvents and PresentationsAnnual Reports and Proxy StatementsSEC FilingsOther Regulatory FilingsFixed Income Investor RelationsStockholder ServicesCorporate GovernanceESG for InvestorsInvestor ContactsNewsPress ReleasesPerspectivesInsightsMedia ResourcesCareersAlumniContact UsRegulatory DisclosuresCareersAlumniContact UsRegulatory DisclosuresTermsPrivacyNotice at CollectionCA Privacy HubAccessibilitySuppliersEthics HotlineContact Us",418
15,"global businesses banking commercial bank. Citi Commercial BankOKAbout UsBusinessesOur ImpactNewsInvestorsCareersMy AccountHome/Businesses/Banking/Commercial BankCommercial BankCiti Commercial Bank provides global banking solutions to mid-sized companies that are looking to grow rapidly and expand internationally. With our global network, comprehensive solutions, and industry expertise, we help these businesses succeed across a wide variety of industries and at most stages of their growth. Get in touchContact UsWHO IS CITI COMMERCIAL BANK?Citi Commercial Bank is here to turn banking into an enabler of your progress, rather than an obstacle to your success. Running a growing business can get complicated, but we help keep it simple. Citi can help you at every phase of your company’s evolution. Watch the video to learn more.INDUSTRY INSIGHTSGlobal Industry Insights ReportCiti Commercial Bank is pleased to share its first Industry Insights Report. This report illustrates the findings and gives insights on what the data tells us from our industry sector leads.Industry Insights Report 2023HOW CITI COMMERCIAL BANK HELPS Citi Commercial Bank works with many clients across a wide variety of industries and has identified some of the major objectives that mid-sized organizations look to achieve when elevating and expanding their business. See how we can help with each objective below.Simplify and/or consolidate your global banking operationsWith each new account, product, bank, and country, your financial complexity increases. We can help to reduce the time you spend managing your banking by centralizing visibility and control.Expand to new markets and/or do business abroad more easilyDoing business abroad can be complicated, costly, and daunting, especially at the beginning. We can grow with you as you enter new markets and help you find the optimum way to pay, collect, and hold foreign currencies.Improve your working capitalWhen looking to boost to your working capital, we can help you find a suitable approach, whether by collecting and reconciling payments faster, extending your payment terms, or sourcing working capital loans.Optimize your trade flowsThe management of international trade can become manual and time consuming as your counterparties grow. We can help you to simplify and digitize your trade flows and maintain beneficial relationships with your suppliers and buyers.Raise external funds for business growthAs your business expands, you will likely need to fund that growth with increasing amounts of external financing, and you may want to change the type and source through time.",492
16,"We can help you find the right option at each milestone.Manage cash efficiently and/or maximize your returnsWe can help you find the most efficient and innovative ways to manage your cash around the world and identify investment options that support your business objectives.INDUSTRIESGLOBAL SPOTLIGHTThe Makers of Asia PacificCiti Commercial Bank offers global banking solutions and expert local advice to fast-growing companies headquartered in 11 countries and jurisdictions in Asia Pacific. Learn MoreEMEA digital leaders summit 2023This series showcases thought leadership articles that were the outcome of key panel discussions during the 2023 EMEA Digital Leaders Summit in Prague, Czech Republic. Learn MoreSwani Spice – the sustainability journeyLearn MoreHelping Veem empower businesses with seamless international paymentsWhen it comes to businesses sending and receiving payments, efficiency is everything. Veem has revamped the payment experience and is giving businesses and entrepreneurs the confidence that their international payments will be simple, secure and fast. By working with Citi as its bank, Veem is empowering companies, big and small, with innovative solutions that are often only available to larger businesses. Thanks to Citi’s global scale and networks, Veem’s clients have the ability to pay and get paid in over 160 countries and 140 currencies around the world. This capability can help businesses unlock new opportunities and drive economic growth, and Citi Commercial Bank is here to help. Learn MoreinsightsGROWTH & PROSPERITYInternational expansion strategies for mid-sized companies webinar replayNovember 11, 2023RISK & RESILIENCEWhat is on treasury’s radar?November 10, 2023SUSTAINABILITY & SOCIETYNonprofits and ERP systems:November 14, 2023View All InsightsGet in touchIf you’d like to learn more, contact usTo help us put you in contact with the right person, please answer the following questions.* Are you an existing client with us?SelectRead Citigroup Privacy NoticesbacknextSign up to receive the latest news from Citi.Email Address**Required FieldSelect PreferencesSendAbout UsStrategyGlobal PresenceLeadershipHeritageBusinessesServicesMarketsBanking and InternationalWealthU.S.",439
17,"global businesses banking commercial bank contact us. Global Investment Bank and Financial Services | CitiOKAbout UsBusinessesOur ImpactNewsInvestorsCareersMy AccountHome/Businesses/Banking/Commercial Bank/Contact UsLearn more about Commercial Bank at Citi or contact usTo help us put you in contact with the right person, please answer the following questions.* Are you an existing client with us?SelectRead Citigroup Privacy NoticesbacknextSign up to receive the latest news from Citi.Email Address**Required FieldSelect PreferencesSendAbout UsStrategyGlobal PresenceLeadershipHeritageBusinessesServicesMarketsBanking and InternationalWealthU.S. Personal BankingOur ImpactSustainabilityStrengthening CommunityDiversity, Equity and InclusionInvestorsQuarterly EarningsEvents and PresentationsAnnual Reports and Proxy StatementsSEC FilingsOther Regulatory FilingsFixed Income Investor RelationsStockholder ServicesCorporate GovernanceESG for InvestorsInvestor ContactsNewsPress ReleasesPerspectivesInsightsMedia ResourcesCareersAlumniContact UsRegulatory DisclosuresCareersAlumniContact UsRegulatory DisclosuresTermsPrivacyNotice at CollectionCA Privacy HubAccessibilitySuppliersEthics HotlineContact Us",231
18,"global businesses markets. Global Investment Bank and Financial Services | CitiOKAbout UsBusinessesOur ImpactNewsInvestorsCareersMy AccountHome/Businesses/MarketsMarkets Markets provides world-class solutions and an unmatched global presence. We serve corporates, institutional investors and governments from trading floors in almost 80 countries. The strength of our underwriting, sales and trading and distribution capabilities span asset classes (Commodities, Equities, Rates, Spread Products) and currencies, providing us with an unmatched ability to meet the needs of our clients. what we offerCommoditiesEquitiesForeign Exchange (FX)RatesSpread ProductsMarkets Quantitative AnalysisCommoditiesCommodities delivers customized, innovative solutions for clients, helping them manage uncertainty due to market volatility. The team’s state-of-the-art investment strategies help optimize our clients’ working capital and enable them to raise strategic financing. Our leading insights, strong market-making capabilities and global reach make us the counterparty of choice for clients looking to innovate in both physical and financial commodities.InsightsClimate Finance At the UN Climate Change Conference (COP26) in November 2021, world leaders came together and set a global agenda on a path to net zero emissions. Pledges were made to further cut carbon dioxide emissions, reduce the use of coal, lower methane emissions, and stop deforestation. Importantly, an actionable framework was put around the promises made in the Paris Agreement.Learn MoreEPS Recessions – A Backward Look A new report by Citi Research’s Chief Global Equity Strategist Robert Buckland takes a close look at past EPS recessions.Learn MoreFood SecurityAround the globe, nearly a third of us worry about where our next meal is coming from, and one in ten of us suffer from hunger or malnutrition.",364
19,"global businesses services. Citi | ServicesOKAbout UsBusinessesOur ImpactNewsInvestorsCareersMy AccountHome/Businesses/ServicesServicesOur Treasury & Trade Solutions and Securities Services businesses provide global solutions that can help clients drive their business forward while investing in innovation to bring new solutions to life. Explore the sections below to learn more.Treasury & Trade SolutionsLearn MoreSecurities ServicesLearn MoreSecurities Services Evolution 2023Securities Services Evolution 2023 tracks the continuing evolution of our industry from being on the brink of change (in 2021), to seeing ongoing transformation (in 2022), to a year in which execution and realization have become core priorities in 2023.Learn MoreLatest From CitiPRESS RELEASECiti Appointed as Depositary Bank for ZKH Group Limited ADR ProgramDecember 22, 2023PRESS RELEASECiti Collaborates with Traydstream to Streamline Document Services for Faster and More Effective Client SolutionsDecember 04, 2023PRESS RELEASECiti Named World's Best Digital Bank and Best Corporate/Institutional Digital Bank for 2023 by Global Finance MagazineNovember 30, 2023View All NewsSign up to receive the latest news from Citi.Email Address**Required FieldSelect PreferencesSendAbout UsStrategyGlobal PresenceLeadershipHeritageBusinessesServicesMarketsBanking and InternationalWealthU.S. Personal BankingOur ImpactSustainabilityStrengthening CommunityDiversity, Equity and InclusionInvestorsQuarterly EarningsEvents and PresentationsAnnual Reports and Proxy StatementsSEC FilingsOther Regulatory FilingsFixed Income Investor RelationsStockholder ServicesCorporate GovernanceESG for InvestorsInvestor ContactsNewsPress ReleasesPerspectivesInsightsMedia ResourcesCareersAlumniContact UsRegulatory DisclosuresCareersAlumniContact UsRegulatory DisclosuresTermsPrivacyNotice at CollectionCA Privacy HubAccessibilitySuppliersEthics HotlineContact Us",381
20,"global businesses services issuer services. Global Investment Bank and Financial Services | CitiOKAbout UsBusinessesOur ImpactNewsInvestorsCareersMy AccountHome/Businesses/Services/Issuer ServicesIssuer Services Issuer Services supports the issuance and administrative needs of global institutional clients through two key business segments, Agency & Trust and Depositary Receipt Services. We are a leading provider of transactional services with a unique blend of experience, global reach and superior services. SolutionsDepositary Receipts OverviewDepositary Receipt ProgramsGlobal Depositary Notes (GDN)A&T OverviewBond Holder Information CenterDebtEscrow and Specialized AgencyStructured FinanceDepositary Receipts OverviewCiti Depositary Receipt Services is a leader in bringing issuers to global capital markets and in promoting depositary receipts (DRs) as an effective capital markets tool. Citi began offering DRs in 1928, and today is widely recognized for providing issuers with its powerful global platform, facilitating access to a global network that issuers can use to build and grow their DR programs. To learn more about Citi Depositary Receipts, please visit www.citi.com/dr. In support of a depositary receipt program, Citi Depositary Receipt Services provides issuers with access to the following value-added resources:   • Global StructuringSpecialized Structuring and Implementation team that facilitates the efficient execution of transactions. • Account ManagementDedicated Account Management team enabling a single point of contact for comprehensive support. • Capital Market SolutionsGlobal sales and equity distribution network with access to large and mid-tier institutional investors. • Investor Relations (IR) CounselExperienced team of former in-house corporate IR executives who consult and support clients in all aspects of their global IR objectives. • Product Management     Innovative Product Management team to develop solutions for enhanced access to markets and investors.CitiActions M&A PortalAgency & Trust’s dedicated M&A team brings expertise and specialized knowledge to your transaction and our CitiActions M&A portal brings simplicity and efficiency to your transaction.Issuer Services Privacy Statement Issuer Services Privacy Statement Events Opal CLO Summit03 - 05 December 2023Opal CLO Summit03 - 05 December 2023Citi is proud to sponsor the Opal CLO Summit. The CLO Summit is an educational forum designed for investors, issuers, underwriters, rating agencies, lawyers and accountants.",477
21,"global businesses services securities services. Citi | Securities ServicesOKAbout UsBusinessesOur ImpactNewsInvestorsCareersMy AccountHome/Businesses/Services/Securities ServicesSecurities Services Grow your business by drawing on the strength of our unmatched global footprint, which provides you with access to local expertise and scalable securities management solutions to support your ambitions. SOLUTIONSCollateral ManagementCustodyCustody FXData ServicesE2C Execution to CustodyETF ServicesFund ServicesIssuer Services Liquidity Management SolutionsMarket GuideMiddle OfficeSecurities LendingTransfer AgencyTrustee & Depositary ServicesCollateral ManagementCiti’s Collateral Management service provides a complete, customizable solution for all collateral-related functions. Supporting both cash and non-cash collateral via Citi as a custodian or supporting clients on a stand-alone basis.     NewsPRESS RELEASECiti Appointed as Depositary Bank for ZKH Group Limited ADR ProgramDecember 22, 2023PRESS RELEASECiti Appointed as Depositary Bank for the GDR Program of Will Semiconductor Co., Ltd. ShanghaiNovember 13, 2023PRESS RELEASECiti acts as first Issuing and Paying Agent for World Bank on Euroclear’s new D-FMI DLT platform October 24, 2023PRESS RELEASECiti Appointed as Depositary Bank for Arm Holdings plc’s ADR Programme September 19, 2023PRESS RELEASECiti to Become First Digital Custodian on BondbloX Bond Exchange September 15, 2023VIEW ALL PRESS RELEASESINSIGHTSSecurities Services Evolution 2023Securities Services Evolution 2023 tracks the continuing evolution of our industry from being on the brink of change (in 2021), to seeing ongoing transformation (in 2022), to a year in which execution and realization have become core priorities in 2023.Learn MoreCreating a Resilient Future in Latin AmericaLATAM markets may be facing some challenging macro headwinds, but this has not deterred them from being ambitious. Several countries in the region have been pushing ahead with sweeping market reforms — including adopting T+1 for equity trade settlements, integrating new technologies into post-trade processes and working on ways to consolidate their national stock exchanges.Learn MoreArtificial Intelligence – A Game ChangerOnce the domain of science-fiction movies, artificial intelligence (AI) is now a fully-fledged reality.",483
